//C.A.B. Oliveira et al., A simulation toolkit for electroluminescence assessment in rare event experiments, Phys. Lett. B 703 (2011) 217
Td	E_mean_oliver
1.01865136298422	3.15789473684211
1.21951219512195	3.39473684210526
1.44906743185079	3.66315789473684
1.67862266857963	3.94736842105263
1.90817790530847	4.21578947368421
2.15208034433285	4.46842105263158
2.32424677187948	4.64210526315789
2.4390243902439	4.75263157894737
2.63988522238164	4.92631578947368
2.81205164992826	5.06842105263158
2.95552367288379	5.19473684210526
3.12769010043042	5.33684210526316
3.25681492109039	5.46315789473684
3.42898134863702	5.58947368421053
3.58680057388809	5.73157894736842
3.78766140602582	5.87368421052632
4.00286944045911	6.06315789473684
4.17503586800574	6.14210526315789
4.43328550932568	6.3
4.64849354375897	6.39473684210526
4.89239598278336	6.52105263157895
5.23672883787661	6.66315789473684
5.55236728837877	6.78947368421053
5.82496413199426	6.86842105263158
6.02582496413199	6.93157894736842
6.32711621233859	6.97894736842105
6.59971305595409	7.02631578947368
6.84361549497848	7.07368421052632
7.07317073170732	7.12105263157895
7.2596843615495	7.16842105263158
7.57532281205165	7.2
7.8909612625538	7.24736842105263
8.20659971305595	7.27894736842105
8.59397417503587	7.32631578947368
9.02439024390244	7.37368421052632
9.38307030129125	7.42105263157895
9.6987087517934	7.46842105263158
10	7.5
 
