//Boltzmann solver, A. Buzulutskov, et al "Revealing neutral bremsstrahlung in two-phase argon electroluminescence"
Td	E_avg_botlzmann
0.114777618364419	0.773684210526316
0.24390243902439	1.13684210526316
0.502152080344333	1.65789473684211
0.688665710186514	1.92631578947368
0.889526542324247	2.21052631578947
1.39167862266858	2.7
1.67862266857963	2.96842105263158
1.97991391678623	3.20526315789474
2.26685796269727	3.41052631578947
2.59684361549498	3.63157894736842
2.82639885222382	3.78947368421053
3.07030129124821	3.93157894736842
3.40028694404591	4.13684210526316
3.73027259684362	4.31052631578947
4.01721664275466	4.43684210526316
4.39024390243903	4.57894736842105
4.80631276901004	4.73684210526316
5.26542324246772	4.86315789473684
5.71018651362984	4.94210526315789
6.26972740315638	5.02105263157895
6.84361549497848	5.08421052631579
7.40315638450502	5.13157894736842
7.87661406025825	5.16315789473684
8.26398852223816	5.17894736842105
8.7948350071736	5.21052631578947
9.28263988522238	5.22631578947368
9.79913916786227	5.2421052631579
9.9713055954089	5.25789473684211

